Name,File,BERT_Extroversion,BERT_Neuroticism,BERT_Agreeableness,BERT_Conscientiousness,BERT_Openness,LIWC_Extroversion,LIWC_Neuroticism,LIWC_Agreeableness,LIWC_Conscientiousness,LIWC_Openness
Elon Musk,Elon Musk - TSLA.txt,0.48536029883793425,0.5005921678883689,0.5038708192961556,0.4962713931288038,0.5213387778827122,0.4,0.5142857142857143,0.6000000000000001,0.5428571428571429,0.4571428571428572
Charlie Scharf,Charlie Scharf - WFC.txt,0.4831415116786957,0.49881447354952496,0.5089086492856344,0.4904325207074483,0.5112094283103943,0.4,0.4,0.5855287569573284,0.4,0.4
Shantanu Narayen,Shantanu Narayen - ADBE.txt,0.4844159086545308,0.5003558993339539,0.5066484212875366,0.4839303493499756,0.5088569124539694,0.43333333333333335,0.4166666666666667,0.43333333333333335,0.4666666666666667,0.6000000000000001
Jeff Harmening,Jeff Harmening - GIS.txt,0.4868847578763962,0.5000771023333073,0.5131474807858467,0.4980428144335747,0.5162090361118317,0.4222222222222222,0.4222222222222222,0.6000000000000001,0.4,0.4444444444444445
Preston Feight,Preston Feight - PCAR.txt,0.48657818138599396,0.49970204134782154,0.5073045094807943,0.502202570438385,0.5104604264100393,0.4,0.4,0.6000000000000001,0.4666666666666667,0.4
Scott Kirby,Scott Kirby - UAL.txt,0.484751433134079,0.49886614084243774,0.5063446164131165,0.49866318702697754,0.5158213973045349,0.4,0.4,0.4,0.4,0.4
Wendell Weeks,Wendell Weeks - GLW.txt,0.4865634044011434,0.4960671166578929,0.5098927219708761,0.49041974544525146,0.5111681818962097,0.4,0.4,0.5333333333333333,0.4,0.6000000000000001
Nick Zarcone,Nick Zarcone - LKQ.txt,0.4829716384410858,0.5051708519458771,0.5035909116268158,0.4874657094478607,0.5099989771842957,0.4666666666666667,0.4,0.6000000000000001,0.5333333333333333,0.4666666666666667
Tim Cook,Tim Cook - AAPL.txt,0.4814075529575348,0.5019200841585795,0.5025851428508759,0.48801613847414654,0.5167809128761292,0.5333333333333333,0.4,0.5333333333333333,0.4666666666666667,0.6000000000000001
Larry Coben,Larry Coben - NRG.txt,0.4824056774377823,0.5014538466930389,0.5060388147830963,0.4865342676639557,0.5093159377574921,0.55,0.45,0.6000000000000001,0.5,0.45
Ray Scott,Ray Scott - LEA.txt,0.4862683117389679,0.5005509853363037,0.509081095457077,0.4860575422644615,0.5109527409076691,0.4,0.4,0.6000000000000001,0.55,0.45
Jane Fraser,Jane Fraser - Citigroup CEO.txt,0.4835698753595352,0.502113189548254,0.5086494535207748,0.4924197122454643,0.5065659359097481,0.4,0.44000000000000006,0.6000000000000001,0.6000000000000001,0.56
Gary Dickerson,Gary Dickerson - AMAT.txt,0.4896441847085953,0.49969109892845154,0.5111161172389984,0.49418191611766815,0.5103842616081238,0.4,0.4,0.4,0.4,0.6
Martin Schroeter,Martin Schroeter - KD.txt,0.4872882440686226,0.5016661211848259,0.5101434290409088,0.4875193163752556,0.5070413202047348,0.4222222222222222,0.4222222222222222,0.5333333333333333,0.6000000000000001,0.5111111111111112
Saum Sutaria,Saum Sutaria - THC.txt,0.48352354268232983,0.5032177865505219,0.5071000655492147,0.49425071974595386,0.5157008767127991,0.42500000000000004,0.4,0.525,0.5,0.6000000000000001
Satya Nadella,Satya Nadella - MSFT.txt,0.486198890209198,0.5079352259635925,0.5095954775810242,0.4894342184066772,0.5093831419944763,0.5,0.4,0.6000000000000001,0.4666666666666667,0.5333333333333333
Greg Hayes,Greg Hayes - RTX.txt,0.4782877415418625,0.49931229650974274,0.5031605660915375,0.48492471873760223,0.5075060427188873,0.4,0.4,0.6000000000000001,0.4,0.5
Rick Dreiling,Rick Dreiling - DLTR.txt,0.4856564775109291,0.5021355226635933,0.5100440979003906,0.49472279101610184,0.509657233953476,0.4,0.47500000000000003,0.47500000000000003,0.6000000000000001,0.42500000000000004
Billy Gifford,Billy Gifford - MO.txt,0.48682800361088346,0.49870785219328745,0.5088287421635219,0.4948480342115675,0.5079409565244403,0.4,0.46635700066357,0.5990710019907101,0.5990710019907101,0.4
Jim Burke,Jim Burke - VST.txt,0.4832509718835354,0.4969523511826992,0.507001593708992,0.4924352504312992,0.5063791163265705,0.42352941176470593,0.45882352941176474,0.6000000000000001,0.43529411764705883,0.5294117647058824
