CEO,x,y,Gender,Company
Lachlan Murdoch,-0.5859148,4.877149,Male,FOXA
Karen Lynch,2.8350365,5.1342144,Female,CVS
Tony Spring,0.63798076,3.2034068,Male,M
Chuck Robbins,-2.1065598,4.060301,Male,CSCO
Andrew Jassy,-3.791266,2.7832606,Male,AMZN
Michael Roman,-2.4765716,4.0508423,Male,MMM
Michael Hennigan,-3.6012428,7.0283575,Male,MPC
Lisa Su,-3.2898114,3.460733,Female,AMD
David Flitman,-0.8565143,3.1187732,Male,USFD
Robert Gamgort,-1.1115386,2.7355387,Male,KDP
Tim Archer,-3.3388023,3.8767993,Male,LRCX
Sasan Goodarzi,0.1845766,5.664151,Male,INTU
Frank Bisignano,-0.05138762,6.095357,Male,FI
Andrew Teno,-1.6649901,7.2445884,Male,IEP
Dirk Van de Put,-1.036155,2.7623396,Male,MDLZ
Maria Black,-3.5432272,2.498839,Female,ADP
Ryan Marshall,-0.89869225,6.161636,Male,PHM
Sarah London,3.173934,4.947079,Female,CNC
Chris Winfrey,-1.0509564,5.0012474,Male,CHTR
Jose Almeida,3.7258382,4.737854,Male,BAX
Chuck Magro,-2.527587,5.858693,Male,CTVA
Chris Kempczinski,-1.2607262,2.9276354,Male,MCD
Michael K. Wirth,-3.4945061,6.95658,Male,CVX
David Cordani,2.5853062,5.3585024,Male,CI
Pat Bowe,-2.655695,5.996091,Male,ANDE
Roger Penske,-5.1687255,5.5250664,Male,PAG
George Holm,-0.66065663,3.0771472,Male,PFGC
Rainer Blair,3.7478375,4.7716346,Male,DHR
Noel Wallace,0.18106681,2.6904366,Male,CL
Patrick Gelsinger,-3.3686254,3.7716146,Male,INTC
Richard Adkerson,-3.2433,6.6433682,Male,FCX
Brian Tyler,3.5361342,4.849951,Male,MCK
Charles Lowrey,0.59690565,6.510644,Male,PRU
Erik Nordstrom,0.47773018,3.3781335,Male,JWN
Mary Barra,-5.1586666,5.713692,Female,GM
David Gitlin,-3.227848,5.0419054,Male,CARR
Lal Karsanbhai,-3.5871117,5.399029,Male,EMR
