Name,File,agree,consc,extra,humility,narc,neuro,openn
Darren Woods,Darren Woods - XOM.txt,,,,,,,
Anthony Capuano,Anthony Capuano - MAR.txt,,,,,,,
Pierce Norton,Pierce Norton - OKE.txt,,,,,,,
Jensen Huang,Jensen Huang - NVDA.txt,,,,,,,
Ryan McInerney,Ryan McInerney - V.txt,,,,,,,
Bruce Bodine,Bruce Bodine - MOS.txt,,,,,,,
Bob Blue,Bob Blue - D.txt,,,,,,,
Marvin  Ellison,Marvin  Ellison - LOW.txt,,,,,,,
David Rush,David Rush - BLDR.txt,,,,,,,
Vicki Hollub,1Vicki Hollub - OXY.txt,,,,,,,
Carrie Wheeler,1Carrie Wheeler - OPEN.txt,,,,,,,
Marc Benioff,Marc Benioff - CRM.txt,,,,,,,
Mark Sutton,Mark Sutton - IP.txt,,,,,,,
James Taiclet,James Taiclet - LMT.txt,,,,,,,
Daniel O’Day,Daniel O’Day - GILD.txt,,,,,,,
Stéphane Bancel,Stéphane Bancel - MRNA.txt,,,,,,,
Todd Vasos,Todd Vasos - DG.txt,,,,,,,
Jeffrey Miller,Jeffrey Miller - HAL.txt,,,,,,,
John Donahoe,John Donahoe - NKE.txt,,,,,,,
Bill Demchak,Bill Demchak - PNC.txt,,,,,,,
Sean O_Connor,Sean O_Connor - SNEX.txt,,,,,,,
John Owen,John Owen - DFS.txt,,,,,,,
Adam Schechter,Adam Schechter - LH.txt,,,,,,,
Robert Bradway,Robert Bradway - AMGN.txt,,,,,,,
Eric Slifka,Eric Slifka - GLP.txt,,,,,,,
John Roberts,John Roberts - JBHT.txt,,,,,,,
Chris Leahy,1Chris Leahy - CDW.txt,,,,,,,
Brad Beckham,Brad Beckham - ORLY.txt,,,,,,,
Rich Hume,Rich Hume - SNX.txt,,,,,,,
David Smith,David Smith - SAH.txt,,,,,,,
Dave Calhoun,Dave Calhoun - BA.txt,,,,,,,
Tom Bell,Tom Bell - LDOS.txt,,,,,,,
David Ricks,David Ricks - LLY.txt,,,,,,,
Darren Rebelez,Darren Rebelez - CASY.txt,,,,,,,
David Hult,David Hult - ABG.txt,,,,,,,
Mike Hsu,Mike Hsu - KMB.txt,,,,,,,
Michael Miebach,Michael Miebach - MA.txt,,,,,,,
Jonas Prising,Jonas Prising - MAN.txt,,,,,,,
David Solomon,David Solomon - GS.txt,,,,,,,
Mark Lashier,Mark Lashier - PSX.txt,,,,,,,
Sean Kerins,Sean Kerins - ARW.txt,,,,,,,
David Zaslav,David Zaslav - WBD.txt,,,,,,,
James C. Fish,James C. Fish - WM.txt,,,,,,,
Sundar Pichai,Sundar Pichai - GOOGL.txt,,,,,,,
Jeff Martin,Jeff Martin - SRE.txt,,,,,,,
Marc N. Casper,Marc N. Casper - TMO.txt,,,,,,,
David Hult,David Hult - ANG.txt,,,,,,,
Scott Donnelly,Scott Donnelly - TXT.txt,,,,,,,
Ben Fowke,Ben Fowke - AEP.txt,,,,,,,
Paul Donahue,Paul Donahue - GPC.txt,,,,,,,
Glenn Fogel,Glenn Fogel - BKNG.txt,,,,,,,
James Cracchiolo,James Cracchiolo - AMP.txt,,,,,,,
Phebe Novakovic,1Phebe Novakovic - GD.txt,,,,,,,
Steven Collis,Steven Collis - COR.txt,,,,,,,
Priscilla Almodovar,1Priscilla Almodovar - FNMA.txt,,,,,,,
Kathy Warden,1Kathy Warden - NOC.txt,,,,,,,
Avigal Soreq,Avigal Soreq - DK.txt,,,,,,,
Don Allan,Don Allan - SWK.txt,,,,,,,
Kevin Kwilinski,Kevin Kwilinski - BERY.txt,,,,,,,
Andy Cecere,Andy Cecere - USB.txt,,,,,,,
Vimal Kapur,Vimal Kapur - HON.txt,,,,,,,
Rodney McMullen,Rodney McMullen - KR.txt,,,,,,,
Ed Breen,Ed Breen - DD.txt,,,,,,,
Sandy Douglas,Sandy Douglas - UNFI.txt,,,,,,,
Chris Womack,Chris Womack - SO.txt,,,,,,,
Dan Houston,Dan Houston - PFG.txt,,,,,,,
Ryan Lance,Ryan Lance - COP.txt,,,,,,,
Albert Chao,Albert Chao - WLK.txt,,,,,,,
Bob Sulentic,Bob Sulentic - CBRE.txt,,,,,,,
Bryan DeBoer,Bryan DeBoer - LAD.txt,,,,,,,
Kevin Hourican,Kevin Hourican - SYY.txt,,,,,,,
Pedro Pizarro,Pedro Pizarro - EIX.txt,,,,,,,
Jim Umpleby,Jim Umpleby - CAT.txt,,,,,,,
Robert Isom,Robert Isom - AAL.txt,,,,,,,
Albert Bourla,Albert Bourla - PFE.txt,,,,,,,
Hock Tan,Hock Tan - AVGO.txt,,,,,,,
John Stankey,John Stankey - T.txt,,,,,,,
Alan Shaw,Alan Shaw - NSC.txt,,,,,,,
Andrew Witty,Andrew Witty - UNH.txt,,,,,,,
Enrique Lores,Enrique Lores - HPQ.txt,,,,,,,
Arvind Krishna,Arvind Krishna - IBM.txt,,,,,,,
Tim Knavish,Tim Knavish - PPG.txt,,,,,,,
Lourenco Goncalves,Lourenco Goncalves - FCX.txt,,,,,,,
Richard Dickson,Richard Dickson - GAP.txt,,,,,,,
Mark Stewart,Mark Stewart - GT.txt,,,,,,,
Judy Marks,Judy Marks - OTIS.txt,,,,,,,
Lane Riggs,Lane Riggs - VLO.txt,,,,,,,
Timothy Wentworth,Timothy Wentworth - WBA.txt,,,,,,,
Cristiano Amon,Cristiano Amon - QCOM.txt,,,,,,,
Marc Miller,Marc Miller - UHS.txt,,,,,,,
James Fitterling,James Fitterling - DOW.txt,,,,,,,
Marc Bitzer,Marc Bitzer - WHR.txt,,,,,,,
Bom Kim,Bom Kim - CPNG.txt,,,,,,,
Heidi Petz,Heidi Petz - SHW.txt,,,,,,,
Mark Zuckerberg,Mark Zuckerberg - META.txt,,,,,,,
Bruce Broussard,Bruce Broussard - HUM.txt,,,,,,,
Ellen Cooper,Ellen Cooper - LNC.txt,,,,,,,
Robert Iger,Robert Iger - DIS.txt,,,,,,,
Ezra Yacob,Ezra Yacob - EOG.txt,,,,,,,
Joaquin Duato,Joaquin Duato - JNJ.txt,,,,,,,
Kate Johnson,1Kate Johnson - LUMN.txt,,,,,,,
Peter Zaffino,Peter Zaffino - AIG.txt,,,,,,,
Michael Kasbar,Michael Kasbar - WKC.txt,,,,,,,
Corie S. Barry,1Corie S. Barry - BBY.txt,,,,,,,
Barbara Rentler,1Barbara Rentler - ROST.txt,,,,,,,
Christopher Kubasik,Christopher Kubasik - LHX.txt,,,,,,,
Tom Polen,Tom Polen - BDX.txt,,,,,,,
Andrew Marsh,Andrew Marsh - ETR.txt,,,,,,,
Paul Romanowski,Paul Romanowski - DHI.txt,,,,,,,
Patricia Poppe,1Patricia Poppe - PCG.txt,,,,,,,
Troy Rudd,Troy Rudd - ACM.txt,,,,,,,
Ellen Cooper,1Ellen Cooper - LNC.txt,,,,,,,
Richard Fairbank,Richard Fairbank - COF.txt,,,,,,,
Daryl Kenningham,Daryl Kenningham - GPI.txt,,,,,,,
Christophe Beck,Christophe Beck - ECL.txt,,,,,,,
Fabrizio Freda,Fabrizio Freda - EL.txt,,,,,,,
Ron O_Hanley,Ron O_Hanley - STT.txt,,,,,,,
Donald Macpherson,Donald Macpherson - GWW.txt,,,,,,,
Leon Topalian,Leon Topalian - NUE.txt,,,,,,,
Scott Smith,Scott Smith - VTRS.txt,,,,,,,
Dave Bozeman,Dave Bozeman - CHRW.txt,,,,,,,
Jenny Parmentier,Jenny Parmentier - PH.txt,,,,,,,
Calvin Butler,Calvin Butler - EXC.txt,,,,,,,
Carol Tome,1Carol Tome - UPS.txt,,,,,,,
William Hornbuckle,William Hornbuckle - MGM.txt,,,,,,,
Steve Squeri,Steve Squeri - AXP.txt,,,,,,,
Ted Pick,Ted Pick - MS.txt,,,,,,,
Tim Donahue,Tim Donahue - CCK.txt,,,,,,,
Phil Gallagher,Phil Gallagher - AVT.txt,,,,,,,
Karla Lewis,1Karla Lewis - RS.txt,,,,,,,
Christian Ulbrich,Christian Ulbrich - JLL.txt,,,,,,,
Chris Boerner,Chris Boerner - BMY.txt,,,,,,,
Brian Roberts,Brian Roberts - CMCSA.txt,,,,,,,
Brian Moynihan,Brian Moynihan - BAC.txt,,,,,,,
Hal Lawton,Hal Lawton - TSCO.txt,,,,,,,
Matthew C. Lucey,Matthew C. Lucey - PBF.txt,,,,,,,
Judy Marks,1Judy Marks - OTIS.txt,,,,,,,
Michel Khalaf,Michel Khalaf - MET.txt,,,,,,,
Jennifer Rumsey,1Jennifer Rumsey - CMI.txt,,,,,,,
Chris Swift,Chris Swift - HIG.txt,,,,,,,
Sephanie Ferris,1Sephanie Ferris - FIS.txt,,,,,,,
Rob Davis,Rob Davis - MRK.txt,,,,,,,
Samuel Hazen,Samuel Hazen - HCA.txt,,,,,,,
Mark Millett,Mark Millett - STLD.txt,,,,,,,
Christopher O_Herlihy,Christopher O_Herlihy - ITW.txt,,,,,,,
Brian Doubles,Brian Doubles - SYF.txt,,,,,,,
Kenny Wilson,Kenny Wilson - JBL.txt,,,,,,,
Sanjay Mehrotra,Sanjay Mehrotra - MU.txt,,,,,,,
James Quincey,James Quincey - KO.txt,,,,,,,
Brad Beckham,Brad Beckham - ORLU.txt,,,,,,,
Kevin Lobo,Kevin Lobo - SYK.txt,,,,,,,
John Wren,John Wren - OMC.txt,,,,,,,
Joseph Zubretsky,Joseph Zubretsky - MOH.txt,,,,,,,
Ed Bastian,Ed Bastian - DAL.txt,,,,,,,
Jack Fusco,Jack Fusco - LNG.txt,,,,,,,
John Zillmer,John Zillmer - ARMK.txt,,,,,,,
Bob Jordan,Bob Jordan - LUV.txt,,,,,,,
Michael Rapino,Michael Rapino - LYV.txt,,,,,,,
Bill Rogers,Bill Rogers - TFC.txt,,,,,,,
Lynn Good,1Lynn Good - DUK.txt,,,,,,,
James Farley,James Farley - F.txt,,,,,,,
Jon Vander Ark,Jon Vander Ark - RSG.txt,,,,,,,
Donnie King,Donnie King - TSN.txt,,,,,,,
Lourenco Goncalves,Lourenco Goncalves - CLF.txt,,,,,,,
Steve Cahillane,Steve Cahillane - K.txt,,,,,,,
John Engel,John Engel - WCC.txt,,,,,,,
Tom Kingsbury,Tom Kingsbury - KSS.txt,,,,,,,
Joseph Dominguez,Joseph Dominguez - CEG.txt,,,,,,,
Wilfred Chiang,Wilfred Chiang - PAGP.txt,,,,,,,
Tim Go,Tim Go - DINO.txt,,,,,,,
Seifi Ghasemi,Seifi Ghasemi - APD.txt,,,,,,,
Gerardo Norcia,Gerardo Norcia - DTE.txt,,,,,,,
Juan Luciano,Juan Luciano - ADM.txt,,,,,,,
Duke Austin,Duke Austin - PWR.txt,,,,,,,
Rick Muncrief,Rick Muncrief - DVN.txt,,,,,,,
Jason Hollar,Jason Hollar - CAH.txt,,,,,,,
Laurence Fink,Laurence Fink - BLK.txt,,,,,,,
David Constable,David Constable - FLR.txt,,,,,,,
Ernie Herrman,Ernie Herrman - TJX.txt,,,,,,,
Robin Vince,Robin Vince - BK.txt,,,,,,,
Joe Hinrichs,Joe Hinrichs - CSX.txt,,,,,,,
Robert Ford,Robert Ford - ABT.txt,,,,,,,
Dara Khosrowshahi,Dara Khosrowshahi - UBER.txt,,,,,,,
Lachlan Murdoch,Lachlan Murdoch - FOXA.txt,,,,,,,
Karen Lynch,1Karen Lynch - CVS.txt,,,,,,,
Tony Spring,Tony Spring - M.txt,,,,,,,
Chuck Robbins,Chuck Robbins - CSCO.txt,,,,,,,
