Name,File,agree,consc,extra,humility,narc,neuro,openn
Adam Schechter,Adam Schechter - LH.txt,4.2179999351501465,4.685999870300293,4.079999923706055,3.8400001525878906,4.6020002365112305,2.921999931335449,4.325999736785889
Robert Bradway,Robert Bradway - AMGN.txt,4.758000373840332,3.5279998779296875,4.182000160217285,3.4860000610351562,3.5940003395080566,2.940000057220459,3.69599986076355
Eric Slifka,Eric Slifka - GLP.txt,4.572000026702881,4.314000129699707,4.835999965667725,3.82800030708313,4.314000129699707,2.4720001220703125,4.392000198364258
John Roberts,John Roberts - JBHT.txt,3.9660000801086426,4.51800012588501,4.4760003089904785,4.067999839782715,4.056000232696533,3.138000011444092,4.590000152587891
Chris Leahy,1Chris Leahy - CDW.txt,4.175999641418457,3.2279999256134033,3.82800030708313,4.494000434875488,4.1579999923706055,3.3540000915527344,3.4140000343322754
Brad Beckham,Brad Beckham - ORLY.txt,4.734000205993652,4.6620001792907715,4.7220001220703125,3.74399995803833,4.085999965667725,2.700000047683716,4.343999862670898
Rich Hume,Rich Hume - SNX.txt,4.182000160217285,4.248000144958496,4.427999973297119,3.6720001697540283,4.62600040435791,3.299999952316284,4.061999797821045
David Smith,David Smith - SAH.txt,4.559999942779541,4.319999694824219,4.428000450134277,3.797999858856201,3.552000045776367,2.934000015258789,4.223999977111816
Dave Calhoun,Dave Calhoun - BA.txt,4.565999984741211,3.5999999046325684,4.547999858856201,4.067999839782715,4.001999855041504,2.6579999923706055,3.9900002479553223
Tom Bell,Tom Bell - LDOS.txt,4.625999927520752,2.934000015258789,4.415999889373779,3.563999891281128,3.941999912261963,2.628000020980835,3.444000244140625
David Ricks,David Ricks - LLY.txt,4.788000106811523,3.311999797821045,4.421999931335449,3.2699999809265137,4.0920000076293945,2.6040000915527344,3.9300003051757812
Darren Rebelez,Darren Rebelez - CASY.txt,4.409999847412109,4.056000232696533,4.404000282287598,3.5460000038146973,3.8939998149871826,3.113999843597412,4.026000022888184
David Hult,David Hult - ABG.txt,4.763999938964844,3.6419997215270996,4.661999702453613,4.368000030517578,4.452000141143799,2.6700003147125244,3.7319998741149902
Mike Hsu,Mike Hsu - KMB.txt,4.307999610900879,4.073999881744385,4.439999580383301,3.330000400543213,3.9179999828338623,2.754000186920166,4.236000061035156
Michael Miebach,Michael Miebach - MA.txt,4.254000186920166,4.578000068664551,4.013999938964844,3.8340001106262207,3.7739996910095215,2.8980000019073486,4.3919997215271
Jonas Prising,Jonas Prising - MAN.txt,4.619999885559082,3.4679996967315674,4.013999938964844,4.013999938964844,4.176000118255615,2.6760001182556152,3.9539999961853027
David Solomon,David Solomon - GS.txt,4.535999774932861,4.242000102996826,4.595999717712402,3.822000026702881,4.283999443054199,2.5259997844696045,4.098000526428223
Mark Lashier,Mark Lashier - PSX.txt,3.450000047683716,5.26800012588501,4.685999870300293,3.809999942779541,4.601999759674072,3.138000011444092,4.446000099182129
Sean Kerins,Sean Kerins - ARW.txt,4.52400016784668,3.75,4.193999767303467,3.755999803543091,3.9660000801086426,3.113999843597412,3.803999662399292
David Zaslav,David Zaslav - WBD.txt,4.1579999923706055,4.236000061035156,4.056000232696533,3.755999803543091,4.109999656677246,3.2880001068115234,4.296000003814697
James C. Fish,James C. Fish - WM.txt,4.440000057220459,3.5339999198913574,4.5360002517700195,3.947999954223633,3.636000156402588,2.7660000324249268,3.2639999389648438
Sundar Pichai,Sundar Pichai - GOOGL.txt,4.248000144958496,4.037999629974365,4.0320000648498535,3.624000072479248,4.242000102996826,2.921999931335449,4.133999824523926
Jeff Martin,Jeff Martin - SRE.txt,4.308000087738037,3.755999803543091,4.866000175476074,4.073999881744385,3.8519999980926514,3.120000123977661,4.301999568939209
Marc N. Casper,Marc N. Casper - TMO.txt,4.470000267028809,2.946000099182129,4.145999908447266,3.995999813079834,3.3359999656677246,2.9100000858306885,3.114000082015991
David Hult,David Hult - ANG.txt,4.638000011444092,3.6419997215270996,4.661999702453613,4.368000030517578,4.452000141143799,2.6700003147125244,3.7319998741149902
Scott Donnelly,Scott Donnelly - TXT.txt,4.51800012588501,4.1579999923706055,4.272000312805176,3.618000030517578,3.803999662399292,2.7720000743865967,3.995999813079834
Ben Fowke,Ben Fowke - AEP.txt,4.008000373840332,5.291999816894531,4.067999839782715,4.026000022888184,4.589999675750732,3.1500000953674316,4.740000247955322
Paul Donahue,Paul Donahue - GPC.txt,4.566000461578369,4.799999713897705,4.745999813079834,4.127999782562256,3.80400013923645,2.868000030517578,4.3919997215271
Glenn Fogel,Glenn Fogel - BKNG.txt,4.289999961853027,3.7619998455047607,4.421999931335449,3.684000015258789,4.638000011444092,3.2400002479553223,3.258000135421753
James Cracchiolo,James Cracchiolo - AMP.txt,4.560000419616699,2.9760000705718994,3.9179999828338623,3.7319998741149902,3.4739997386932373,2.927999973297119,3.0839998722076416
Phebe Novakovic,1Phebe Novakovic - GD.txt,4.050000190734863,4.48799991607666,4.206000328063965,3.942000150680542,3.7980003356933594,3.396000385284424,4.607999801635742
Steven Collis,Steven Collis - COR.txt,4.248000144958496,4.661999702453613,4.37399959564209,3.9839999675750732,3.744000196456909,3.330000400543213,4.4160003662109375
