Name,File,BERT_Extroversion,BERT_Neuroticism,BERT_Agreeableness,BERT_Conscientiousness,BERT_Openness,LIWC_Extroversion,LIWC_Neuroticism,LIWC_Agreeableness,LIWC_Conscientiousness,LIWC_Openness
Tim Cook,Tim Cook - AAPL.txt,0.4799106942656775,0.4385377657238644,0.5691005666643161,0.5978621061233268,0.5642657022669869,0.5333333333333333,0.4,0.5333333333333333,0.4666666666666667,0.6000000000000001
Larry Coben,Larry Coben - NRG.txt,0.47471564134291633,0.5317535693081132,0.5723543687800207,0.5938083987784956,0.49696733861677617,0.55,0.45,0.6000000000000001,0.5,0.45
Ray Scott,Ray Scott - LEA.txt,0.5161171732744794,0.5872194110737063,0.5884511465086288,0.5631795631208381,0.4916298434256864,0.4,0.4,0.6000000000000001,0.55,0.45
Jane Fraser,Jane Fraser - Citigroup CEO.txt,0.4676595130307663,0.4339901963910638,0.5016239308525189,0.47752345502178617,0.5996591181070041,0.4,0.44000000000000006,0.6000000000000001,0.6000000000000001,0.56
Gary Dickerson,Gary Dickerson - AMAT.txt,0.41061697623982285,0.5500605670044485,0.4370249364072277,0.5901764696227785,0.5220002301775091,0.4,0.4,0.4,0.4,0.6
Martin Schroeter,Martin Schroeter - KD.txt,0.5423520523296667,0.410300119013133,0.5823720775470853,0.570323190457158,0.49399636378343836,0.4222222222222222,0.4222222222222222,0.5333333333333333,0.6000000000000001,0.5111111111111112
Saum Sutaria,Saum Sutaria - THC.txt,0.424541194876296,0.42415720301324056,0.4733073852145492,0.4042443508520425,0.45391884930351445,0.42500000000000004,0.4,0.525,0.5,0.6000000000000001
Satya Nadella,Satya Nadella - MSFT.txt,0.5680819641373319,0.4093092462786559,0.4124310444553673,0.5260754056073826,0.5377899866025776,0.5,0.4,0.6000000000000001,0.4666666666666667,0.5333333333333333
Greg Hayes,Greg Hayes - RTX.txt,0.5963613999968933,0.5864937822017826,0.5755888586341793,0.5014117465263126,0.5687566095338404,0.4,0.4,0.6000000000000001,0.4,0.5
Rick Dreiling,Rick Dreiling - DLTR.txt,0.46877036974995884,0.5618247287213886,0.555798321193372,0.40384111451224447,0.5588051852006035,0.4,0.47500000000000003,0.47500000000000003,0.6000000000000001,0.42500000000000004
Billy Gifford,Billy Gifford - MO.txt,0.5490601549794816,0.4298773227910117,0.46017980581569273,0.5894286560192703,0.45949271510114137,0.4,0.46635700066357,0.5990710019907101,0.5990710019907101,0.4
Jim Burke,Jim Burke - VST.txt,0.5972333336096995,0.5406804327027934,0.5391135845589781,0.49358955811053723,0.5161011390175105,0.42352941176470593,0.45882352941176474,0.6000000000000001,0.43529411764705883,0.5294117647058824
