Name,File,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness
Daniel O’Day,Daniel O’Day - GILD.txt,0.45,0.5,0.5,0.5,0.6000000000000001
Stéphane Bancel,Stéphane Bancel - MRNA.txt,0.6000000000000001,0.5636363636363637,0.5636363636363637,0.4363636363636364,0.4727272727272728
Todd Vasos,Todd Vasos - DG.txt,0.6000000000000001,0.528,0.5760000000000001,0.43200000000000005,0.464
Jeffrey Miller,Jeffrey Miller - HAL.txt,0.4736842105263158,0.5473684210526316,0.6000000000000001,0.5578947368421053,0.5526315789473685
John Donahoe,John Donahoe - NKE.txt,0.6,0.5368421052631579,0.5368421052631579,0.6,0.5368421052631579
Bill Demchak,Bill Demchak - PNC.txt,0.4864864864864865,0.6000000000000001,0.5459459459459459,0.4540540540540541,0.5081081081081081
Sean O_Connor,Sean O_Connor - SNEX.txt,0.6000000000000001,0.4666666666666667,0.5111111111111112,0.48888888888888893,0.5333333333333333
John Owen,John Owen - DFS.txt,0.4666666666666667,0.6000000000000001,0.4,0.4,0.6000000000000001
Adam Schechter,Adam Schechter - LH.txt,0.4901960784313726,0.43137254901960786,0.4862745098039216,0.4196078431372549,0.6000000000000001
Robert Bradway,Robert Bradway - AMGN.txt,0.5900000000000001,0.54,0.5,0.52,0.6
Eric Slifka,Eric Slifka - GLP.txt,0.48571428571428577,0.4285714285714286,0.4571428571428572,0.4,0.6000000000000001
John Roberts,John Roberts - JBHT.txt,0.6000000000000001,0.4363636363636364,0.5272727272727273,0.4545454545454546,0.5090909090909091
Chris Leahy,1Chris Leahy - CDW.txt,0.6000000000000001,0.47500000000000003,0.5166666666666667,0.525,0.4833333333333334
Brad Beckham,Brad Beckham - ORLY.txt,0.5724137931034483,0.4413793103448276,0.6000000000000001,0.4827586206896552,0.496551724137931
Rich Hume,Rich Hume - SNX.txt,0.48888888888888893,0.4777777777777778,0.4666666666666667,0.45,0.6000000000000001
David Smith,David Smith - SAH.txt,0.45,0.45,0.6000000000000001,0.4,0.55
Dave Calhoun,Dave Calhoun - BA.txt,0.5,0.525,0.6000000000000001,0.6000000000000001,0.55
Tom Bell,Tom Bell - LDOS.txt,0.49333333333333335,0.44,0.5933333333333334,0.56,0.6000000000000001
David Ricks,David Ricks - LLY.txt,0.45,0.6000000000000001,0.45,0.4375,0.48750000000000004
Darren Rebelez,Darren Rebelez - CASY.txt,0.6000000000000001,0.5517241379310345,0.5379310344827587,0.5103448275862069,0.5931034482758621
David Hult,David Hult - ABG.txt,0.6000000000000001,0.45333333333333337,0.5333333333333334,0.48000000000000004,0.5733333333333334
Mike Hsu,Mike Hsu - KMB.txt,0.6000000000000001,0.504,0.532,0.46,0.512
Michael Miebach,Michael Miebach - MA.txt,0.6000000000000001,0.4916666666666667,0.5916666666666667,0.48333333333333334,0.5916666666666667
Jonas Prising,Jonas Prising - MAN.txt,0.552,0.536,0.464,0.47200000000000003,0.6000000000000001
David Solomon,David Solomon - GS.txt,0.5538461538461539,0.47692307692307695,0.6000000000000001,0.5307692307692308,0.5230769230769231
Mark Lashier,Mark Lashier - PSX.txt,0.5166666666666667,0.4166666666666667,0.6000000000000001,0.4666666666666667,0.45
Sean Kerins,Sean Kerins - ARW.txt,0.5285714285714286,0.48571428571428577,0.5142857142857143,0.4714285714285715,0.6000000000000001
David Zaslav,David Zaslav - WBD.txt,0.6000000000000001,0.49,0.5700000000000001,0.43000000000000005,0.52
James C,James C. Fish - WM.txt,0.6000000000000001,0.5833333333333334,0.55,0.48333333333333334,0.5333333333333333
Sundar Pichai,Sundar Pichai - GOOGL.txt,0.4666666666666667,0.4444444444444445,0.4444444444444445,0.6000000000000001,0.6000000000000001
Jeff Martin,Jeff Martin - SRE.txt,0.5,0.5166666666666667,0.5666666666666667,0.6000000000000001,0.6000000000000001
Marc N,Marc N. Casper - TMO.txt,0.5,0.4294117647058824,0.5117647058823529,0.47647058823529415,0.6000000000000001
David Hult,David Hult - ANG.txt,0.6000000000000001,0.45333333333333337,0.5333333333333334,0.48000000000000004,0.5733333333333334
Scott Donnelly,Scott Donnelly - TXT.txt,0.5,0.6000000000000001,0.5214285714285715,0.4928571428571429,0.6000000000000001
Ben Fowke,Ben Fowke - AEP.txt,0.525,0.4375,0.6000000000000001,0.6000000000000001,0.5750000000000001
Paul Donahue,Paul Donahue - GPC.txt,0.6000000000000001,0.4,0.48571428571428577,0.4571428571428572,0.4285714285714286
Glenn Fogel,Glenn Fogel - BKNG.txt,0.47692307692307695,0.4461538461538462,0.6000000000000001,0.42307692307692313,0.5153846153846154
James Cracchiolo,James Cracchiolo - AMP.txt,0.6000000000000001,0.4285714285714286,0.5142857142857143,0.48571428571428577,0.5714285714285714
Phebe Novakovic,1Phebe Novakovic - GD.txt,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.6000000000000001,0.49375
Steven Collis,Steven Collis - COR.txt,0.5555555555555556,0.43333333333333335,0.6000000000000001,0.4444444444444445,0.5111111111111111
Priscilla Almodovar,1Priscilla Almodovar - FNMA.txt,0.4727272727272728,0.6000000000000001,0.5636363636363637,0.5818181818181818,0.4727272727272728
Kathy Warden,1Kathy Warden - NOC.txt,0.48571428571428577,0.4642857142857143,0.5571428571428572,0.5285714285714286,0.6000000000000001
Avigal Soreq,Avigal Soreq - DK.txt,0.48000000000000004,0.6000000000000001,0.5066666666666667,0.44000000000000006,0.4666666666666667
Don Allan,Don Allan - SWK.txt,0.5666666666666667,0.5333333333333334,0.4666666666666667,0.6000000000000001,0.5666666666666667
Kevin Kwilinski,Kevin Kwilinski - BERY.txt,0.46938775510204084,0.4448979591836735,0.4653061224489796,0.5142857142857143,0.6000000000000001
Andy Cecere,Andy Cecere - USB.txt,0.4545454545454546,0.5090909090909091,0.5636363636363637,0.5454545454545455,0.6000000000000001
Vimal Kapur,Vimal Kapur - HON.txt,0.47241379310344833,0.4206896551724138,0.4758620689655173,0.48620689655172417,0.6000000000000001
Rodney McMullen,Rodney McMullen - KR.txt,0.5696969696969697,0.4363636363636364,0.6000000000000001,0.4303030303030303,0.5575757575757576
Ed Breen,Ed Breen - DD.txt,0.6000000000000001,0.5647058823529412,0.5647058823529412,0.42352941176470593,0.5058823529411764
Sandy Douglas,Sandy Douglas - UNFI.txt,0.5058823529411764,0.4470588235294118,0.5686274509803921,0.5529411764705883,0.6000000000000001
Chris Womack,Chris Womack - SO.txt,0.43000000000000005,0.48000000000000004,0.6000000000000001,0.53,0.6000000000000001
Dan Houston,Dan Houston - PFG.txt,0.49473684210526314,0.4421052631578948,0.6000000000000001,0.45263157894736844,0.45263157894736844
Ryan Lance,Ryan Lance - COP.txt,0.4823529411764706,0.5176470588235295,0.5294117647058824,0.6000000000000001,0.5411764705882354
Albert Chao,Albert Chao - WLK.txt,0.5166666666666667,0.6000000000000001,0.6000000000000001,0.5,0.5333333333333333
Bob Sulentic,Bob Sulentic - CBRE.txt,0.4818181818181818,0.5181818181818182,0.4181818181818182,0.4181818181818182,0.6000000000000001
Bryan DeBoer,Bryan DeBoer - LAD.txt,0.5636363636363637,0.4454545454545455,0.5090909090909091,0.6000000000000001,0.5454545454545454
Kevin Hourican,Kevin Hourican - SYY.txt,0.5405405405405406,0.42702702702702705,0.6,0.4918918918918919,0.5405405405405406
Pedro Pizarro,Pedro Pizarro - EIX.txt,0.52,0.46,0.6000000000000001,0.48000000000000004,0.54
Jim Umpleby,Jim Umpleby - CAT.txt,0.48888888888888893,0.6000000000000001,0.4777777777777778,0.5333333333333334,0.5888888888888889
Robert Isom,Robert Isom - AAL.txt,0.6000000000000001,0.42608695652173917,0.5130434782608696,0.5565217391304348,0.5304347826086957
Albert Bourla,Albert Bourla - PFE.txt,0.6000000000000001,0.5,0.5923076923076923,0.5538461538461539,0.576923076923077
Hock Tan,Hock Tan - AVGO.txt,0.54,0.52,0.54,0.52,0.6000000000000001
John Stankey,John Stankey - T.txt,0.5363636363636364,0.49090909090909096,0.6000000000000001,0.5772727272727273,0.5909090909090909
Alan Shaw,Alan Shaw - NSC.txt,0.5214285714285715,0.4142857142857143,0.48571428571428577,0.6000000000000001,0.5357142857142858
Andrew Witty,Andrew Witty - UNH.txt,0.4814814814814815,0.5851851851851853,0.6000000000000001,0.4444444444444445,0.49629629629629635
Enrique Lores,Enrique Lores - HPQ.txt,0.5090909090909091,0.4454545454545455,0.6000000000000001,0.5,0.6000000000000001
Arvind Krishna,Arvind Krishna - IBM.txt,0.5230769230769231,0.4461538461538462,0.47692307692307695,0.49230769230769234,0.6000000000000001
Tim Knavish,Tim Knavish - PPG.txt,0.6000000000000001,0.535483870967742,0.49677419354838714,0.535483870967742,0.5741935483870968
Lourenco Goncalves,Lourenco Goncalves - FCX.txt,0.5818181818181819,0.4818181818181818,0.6000000000000001,0.4363636363636364,0.5
Richard Dickson,Richard Dickson - GAP.txt,0.576923076923077,0.4076923076923077,0.5076923076923078,0.5307692307692308,0.6000000000000001
Mark Stewart,Mark Stewart - GT.txt,0.5666666666666667,0.4666666666666667,0.6000000000000001,0.6000000000000001,0.5666666666666667
Judy Marks,Judy Marks - OTIS.txt,0.6000000000000001,0.4210526315789474,0.5578947368421053,0.5052631578947369,0.4736842105263158
Lane Riggs,Lane Riggs - VLO.txt,0.55,0.5166666666666667,0.5166666666666667,0.6000000000000001,0.4666666666666667
Timothy Wentworth,Timothy Wentworth - WBA.txt,0.47692307692307695,0.4153846153846154,0.6000000000000001,0.4307692307692308,0.5
Cristiano Amon,Cristiano Amon - QCOM.txt,0.5333333333333334,0.4666666666666667,0.5428571428571429,0.4761904761904762,0.6000000000000001
Marc Miller,Marc Miller - UHS.txt,0.44000000000000006,0.48000000000000004,0.6000000000000001,0.44000000000000006,0.56
James Fitterling,James Fitterling - DOW.txt,0.525,0.5125000000000001,0.48750000000000004,0.4375,0.6000000000000001
Marc Bitzer,Marc Bitzer - WHR.txt,0.6000000000000001,0.6000000000000001,0.4666666666666667,0.49333333333333335,0.5866666666666667
Bom Kim,Bom Kim - CPNG.txt,0.5217391304347827,0.45217391304347826,0.5217391304347827,0.5217391304347827,0.6000000000000001
Heidi Petz,Heidi Petz - SHW.txt,0.6000000000000001,0.45,0.54,0.47500000000000003,0.5
Mark Zuckerberg,Mark Zuckerberg - META.txt,0.5058823529411764,0.6000000000000001,0.5411764705882354,0.5176470588235295,0.5764705882352941
Bruce Broussard,Bruce Broussard - HUM.txt,0.5176470588235295,0.5882352941176471,0.5882352941176471,0.6,0.5529411764705883
Ellen Cooper,Ellen Cooper - LNC.txt,0.48000000000000004,0.52,0.5,0.44,0.6000000000000001
Robert Iger,Robert Iger - DIS.txt,0.4347826086956522,0.48695652173913045,0.5130434782608696,0.5739130434782609,0.6
Ezra Yacob,Ezra Yacob - EOG.txt,0.4714285714285715,0.4714285714285715,0.5,0.45,0.6000000000000001
Joaquin Duato,Joaquin Duato - JNJ.txt,0.4430769230769231,0.4307692307692308,0.47692307692307695,0.4830769230769231,0.6
Kate Johnson,1Kate Johnson - LUMN.txt,0.6000000000000001,0.4347826086956522,0.5391304347826087,0.4695652173913044,0.4956521739130435
Peter Zaffino,Peter Zaffino - AIG.txt,0.5263157894736843,0.6000000000000001,0.45263157894736844,0.43157894736842106,0.5578947368421052
Michael Kasbar,Michael Kasbar - WKC.txt,0.6000000000000001,0.4461538461538462,0.5692307692307692,0.4461538461538462,0.47692307692307695
Corie S,1Corie S. Barry - BBY.txt,0.4666666666666667,0.48484848484848486,0.6000000000000001,0.46060606060606063,0.5696969696969697
Barbara Rentler,1Barbara Rentler - ROST.txt,0.5142857142857143,0.4357142857142857,0.6000000000000001,0.5714285714285715,0.5
Christopher Kubasik,Christopher Kubasik - LHX.txt,0.49375,0.46875,0.6000000000000001,0.5375000000000001,0.5437500000000001
Tom Polen,Tom Polen - BDX.txt,0.44528301886792454,0.4377358490566038,0.45660377358490567,0.5056603773584906,0.6000000000000001
Andrew Marsh,Andrew Marsh - ETR.txt,0.4,0.45,0.45,0.6000000000000001,0.45
Paul Romanowski,Paul Romanowski - DHI.txt,0.5666666666666667,0.4166666666666667,0.6000000000000001,0.48333333333333334,0.5
Patricia Poppe,1Patricia Poppe - PCG.txt,0.48947368421052634,0.4368421052631579,0.4842105263157895,0.5526315789473685,0.6000000000000001
Troy Rudd,Troy Rudd - ACM.txt,0.46956521739130436,0.48695652173913045,0.5043478260869565,0.46956521739130436,0.6000000000000001
Ellen Cooper,1Ellen Cooper - LNC.txt,0.48000000000000004,0.52,0.5,0.44,0.6000000000000001
Richard Fairbank,Richard Fairbank - COF.txt,0.5161290322580645,0.6000000000000001,0.5483870967741935,0.5612903225806452,0.49677419354838714
Daryl Kenningham,Daryl Kenningham - GPI.txt,0.5,0.6000000000000001,0.525,0.525,0.525
Christophe Beck,Christophe Beck - ECL.txt,0.515,0.47000000000000003,0.56,0.465,0.6
Fabrizio Freda,Fabrizio Freda - EL.txt,0.5090909090909091,0.4181818181818182,0.5272727272727273,0.5636363636363637,0.6000000000000001
Ron O_Hanley,Ron O_Hanley - STT.txt,0.6000000000000001,0.5882352941176471,0.6000000000000001,0.49411764705882355,0.5647058823529412
