Name,File,agree,consc,extra,humility,narc,neuro,openn
Tom Bell,Tom Bell - LDOS.txt,4.116000175476074,4.49399995803833,5.171999931335449,4.164000034332275,4.319999694824219,2.9099998474121094,4.37399959564209
David Ricks,David Ricks - LLY.txt,4.830000400543213,4.644000053405762,5.12399959564209,3.82800030708313,4.314000129699707,2.8440001010894775,5.220000267028809
Darren Rebelez,Darren Rebelez - CASY.txt,4.590000152587891,3.875999927520752,4.673999786376953,3.870000123977661,3.702000141143799,3.2099997997283936,4.428000450134277
David Hult,David Hult - ABG.txt,4.6080002784729,4.2179999351501465,4.781999588012695,3.5099997520446777,4.673999786376953,2.873999834060669,4.019999980926514
Mike Hsu,Mike Hsu - KMB.txt,4.019999980926514,4.758000373840332,4.5360002517700195,3.857999801635742,4.415999889373779,3.4800000190734863,4.830000400543213
Michael Miebach,Michael Miebach - MA.txt,4.578000068664551,4.919999599456787,4.5239996910095215,3.7139999866485596,4.529999732971191,2.759999990463257,4.199999809265137
Jonas Prising,Jonas Prising - MAN.txt,4.289999961853027,5.328000068664551,5.039999961853027,4.050000190734863,4.451999664306641,2.9159998893737793,4.374000072479248
David Solomon,David Solomon - GS.txt,4.314000129699707,5.526000022888184,4.878000259399414,3.7260003089904785,4.374000072479248,2.8439998626708984,4.770000457763672
Mark Lashier,Mark Lashier - PSX.txt,4.374000549316406,4.380000114440918,4.745999813079834,3.9599997997283936,4.697999954223633,3.3419997692108154,4.452000141143799
Sean Kerins,Sean Kerins - ARW.txt,4.895999908447266,4.698000431060791,4.607999324798584,3.7919998168945312,4.211999893188477,2.861999988555908,4.758000373840332
David Zaslav,David Zaslav - WBD.txt,4.752000331878662,3.8459999561309814,4.236000061035156,3.570000171661377,3.803999662399292,2.8320000171661377,4.085999965667725
James C. Fish,James C. Fish - WM.txt,4.151999473571777,5.220000267028809,5.118000030517578,3.552000045776367,4.644000053405762,3.324000120162964,4.578000068664551
Sundar Pichai,Sundar Pichai - GOOGL.txt,4.104000091552734,4.914000511169434,4.998000144958496,3.8279998302459717,4.710000038146973,3.05400013923645,4.866000175476074
Jeff Martin,Jeff Martin - SRE.txt,4.008000373840332,4.206000328063965,4.680000305175781,3.629999876022339,4.145999908447266,3.186000108718872,4.308000087738037
Marc N. Casper,Marc N. Casper - TMO.txt,4.116000175476074,5.088000297546387,4.829999923706055,3.755999803543091,4.763999938964844,3.0,4.973999977111816
David Hult,David Hult - ANG.txt,4.6080002784729,4.2179999351501465,4.781999588012695,3.5099997520446777,4.673999786376953,2.873999834060669,4.019999980926514
Scott Donnelly,Scott Donnelly - TXT.txt,4.4639997482299805,5.118000030517578,4.386000156402588,3.677999973297119,4.1579999923706055,3.252000093460083,5.052000522613525
Ben Fowke,Ben Fowke - AEP.txt,5.058000087738037,4.073999881744385,4.6080002784729,4.302000045776367,4.026000022888184,2.886000156402588,4.355999946594238
