Name,File_bert,Extroversion_bert,Neuroticism_bert,Agreeableness_bert,Conscientiousness_bert,Openness_bert,File_liwc,Extroversion_liwc,Neuroticism_liwc,Agreeableness_liwc,Conscientiousness_liwc,Openness_liwc
saum sutaria,Saum Sutaria - THC.txt,0.501083348035341,0.4960818437724661,0.5453339926389656,0.5922004474856312,0.5644320846458435,Saum Sutaria - THC.txt,0.4896551724137931,0.4620689655172414,0.5172413793103449,0.5517241379310345,0.6000000000000001
satya nadella,Satya Nadella - MSFT.txt,0.5464501541266669,0.5218458564641673,0.5296962913946238,0.4422076067195729,0.606977805810839,Satya Nadella - MSFT.txt,0.56,0.5466666666666666,0.6000000000000001,0.44,0.56
greg hayes,Greg Hayes - RTX.txt,0.5099121332168579,0.5129026673476513,0.5391356646496889,0.4727982934573147,0.5838902943254666,Greg Hayes - RTX.txt,0.475,0.5,0.5,0.475,0.6000000000000001
rick dreiling,Rick Dreiling - DLTR.txt,0.481186995243718,0.5041351162282551,0.5479251021752033,0.4969199219334693,0.5765949631480396,Rick Dreiling - DLTR.txt,0.5142857142857143,0.5285714285714286,0.6000000000000001,0.5857142857142857,0.5285714285714286
billy gifford,Billy Gifford - MO.txt,0.5280030811547698,0.5055834083133615,0.5346004919684013,0.4674531795448362,0.5980895108081725,Billy Gifford - MO.txt,0.6000000000000001,0.5083333333333333,0.4333333333333333,0.5583333333333333,0.5166666666666667
jim burke,Jim Burke - VST.txt,0.5281742947203629,0.5112753130101219,0.5312225584897763,0.475621096876747,0.5825474734336151,Jim Burke - VST.txt,0.5217391304347826,0.6000000000000001,0.5565217391304348,0.4652173913043478,0.5130434782608696
safra catz -orcl,1Safra Catz -ORCL.txt,0.5205838481517101,0.5142462037777907,0.5493595997198872,0.4890076454485851,0.591931685397981,1Safra Catz -ORCL.txt,0.5666666666666667,0.5666666666666667,0.6000000000000001,0.6000000000000001,0.5666666666666667
fred lissalde,Fred Lissalde - BWA.txt,0.4982461590018928,0.481713646158576,0.5533673607051135,0.60310172267477,0.5585796771011224,Fred Lissalde - BWA.txt,0.6000000000000001,0.4363636363636364,0.4727272727272728,0.5818181818181819,0.4727272727272728
daniel fisher,Daniel Fisher - BALL.txt,0.4805600365467644,0.5078350384902455,0.549159127368717,0.5289687782945041,0.5855505274426622,Daniel Fisher - BALL.txt,0.4594594594594595,0.5081081081081081,0.5135135135135136,0.4702702702702703,0.6000000000000001
lorenzo simonelli,Lorenzo Simonelli - BKR.txt,0.5494687197048983,0.48826812207396,0.5382407178673478,0.510516722787235,0.5996641660113178,Lorenzo Simonelli - BKR.txt,0.45625,0.4375,0.43125,0.4375,0.6000000000000001
hans vestberg,Hans Vestberg - VZ.txt,0.544022173447145,0.5062798982963397,0.5405359636455745,0.4897474297732854,0.5846053665157129,Hans Vestberg - VZ.txt,0.6000000000000001,0.4333333333333333,0.5523809523809524,0.5285714285714286,0.4428571428571429
richard gonzalez,Richard Gonzalez - ABBV.txt,0.5296494074944251,0.5215127232925877,0.5724058264661381,0.6478597664422476,0.5763768349779294,Richard Gonzalez - ABBV.txt,0.6000000000000001,0.4571428571428572,0.5428571428571429,0.5571428571428572,0.6000000000000001
mike salvino,Mike Salvino - DXC.txt,0.5363777092598986,0.5197007777033211,0.5423123802108508,0.4626319819424155,0.5936271926454962,Mike Salvino - DXC.txt,0.5833333333333334,0.4833333333333333,0.6000000000000001,0.5666666666666667,0.525
ravi kumar,Ravi Kumar - CTSH.txt,0.535869078162784,0.4847533155731851,0.5495850857460396,0.5670612677620113,0.5584272872974524,Ravi Kumar - CTSH.txt,0.6000000000000001,0.4648648648648649,0.5405405405405406,0.4702702702702703,0.5297297297297298
ari bousbib,Ari Bousbib - IQV.txt,0.5018746829871494,0.5017509525500403,0.5282756022441629,0.4803514232604106,0.5841776013603618,Ari Bousbib - IQV.txt,0.5238095238095238,0.6000000000000001,0.5238095238095238,0.4285714285714286,0.5238095238095238
tony cheng,Tony Cheng - RGA.txt,0.5302223992724997,0.508160739056493,0.5294361676243626,0.4847616255283355,0.60481354897373,Tony Cheng - RGA.txt,0.5428571428571429,0.5285714285714286,0.6000000000000001,0.4714285714285715,0.5142857142857143
larry culp,Larry Culp - GE.txt,0.5158968567848206,0.4892741739749908,0.5833854966451251,0.6471371948719025,0.6090658116829963,Larry Culp - GE.txt,0.4823529411764706,0.4470588235294118,0.4588235294117647,0.5411764705882354,0.6000000000000001
laxman narasimhan,Laxman Narasimhan - SBUX.txt,0.544831934968752,0.5295512555533146,0.539198564091671,0.4427685471861282,0.5891247693135759,Laxman Narasimhan - SBUX.txt,0.49,0.52,0.6000000000000001,0.45,0.52
andrew clyde,Andrew Clyde - MUSA.txt,0.5012764390693438,0.5222878038983494,0.5300142143704784,0.4465413617671318,0.5762633799572772,Andrew Clyde - MUSA.txt,0.6000000000000001,0.52,0.54,0.46,0.56
ramon laguarta,Ramon Laguarta - PEP.txt,0.542658148544798,0.4881022260673949,0.5498234643691831,0.5371112859003143,0.579985044758073,Ramon Laguarta - PEP.txt,0.468,0.44,0.456,0.452,0.6000000000000001
kim dang,1Kim Dang - KMI.txt,0.4867070406926193,0.4906335171716867,0.556172242402589,0.5580030337359694,0.5651098964378394,1Kim Dang - KMI.txt,0.6000000000000001,0.5666666666666667,0.5833333333333334,0.55,0.5166666666666667
brian cornell,Brian Cornell - TGT.txt,0.5494553121508375,0.4826804788444283,0.5567298356825577,0.5949628183133158,0.5838980148715807,Brian Cornell - TGT.txt,0.5666666666666667,0.4333333333333333,0.5083333333333333,0.475,0.6000000000000001
jenny parmentier,1Jenny Parmentier - PH.txt,0.4566452670523007,0.5118823672608729,0.5412407290011138,0.3913014818234444,0.542696098452012,1Jenny Parmentier - PH.txt,0.5375000000000001,0.5,0.5125000000000001,0.45,0.6
jenny parmentier,1Jenny Parmentier - PH.txt,0.4566452670523007,0.5118823672608729,0.5412407290011138,0.3913014818234444,0.542696098452012,Jenny Parmentier - PH.txt,0.5375000000000001,0.5,0.5125000000000001,0.45,0.6
darren woods,Darren Woods - XOM.txt,0.5349752354733032,0.5282963431828728,0.5370471858305719,0.4496774885853808,0.5852827217979018,Darren Woods - XOM.txt,0.5358490566037736,0.5283018867924528,0.5735849056603775,0.6000000000000001,0.6000000000000001
